product_id;price;retail_price;units_sold;uses_ad_boosts;rating;rating_count;badges_count;badge_local_product;badge_product_quality;badge_fast_shipping;tags;product_color;product_variation_size_id;product_variation_inventory;shipping_option_price;shipping_is_express;countries_shipped_to;inventory_total;has_urgency_banner;origin_country;merchant_title;merchant_info_subtitle;merchant_rating_count;merchant_rating;merchant_has_profile_picture
1;16;14;100;0;3.76;54;0;0;0;0;Summer/Fashion/womenunderwearsuit/printedpajamasset/womencasualshort/Womens Fashion/flamingo/loungewearset/Casual/Shirt/casualsleepwear/Shorts/flamingotshirt/Elastic/Vintage/Tops/tshirtandshortsset/Women/Sleepwear/Print/womenpajamasset/womennightwear/Pajamas/womensleepwearset;white;M;50;4;0;34;50;1;CN;zgrdejia;(568 notes);568;4.128.521.126.760.560;0
2;8;22;20000;1;3.45;6135;0;0;0;0;Mini/womens dresses/Summer/Patchwork/fashion dress/Dress/Mini dress/Womens Fashion/Women S Clothing/backless/party/summer dresses/sleeveless/sexy/Casual;green;XS;50;2;0;41;50;1;CN;SaraHouse;83 % avis positifs (17,752 notes);17752;38.996.732.762.505.600;0
3;8;43;100;0;3.57;14;0;0;0;0;Summer/cardigan/women beachwear/chiffon/Sexy women/Coat/summercardigan/openfront/short sleeves/Swimsuit/Womens Fashion/leaf/Green/printed/Spring/longcardigan/Women/Beach/kimono;leopardprint;XS;1;3;0;36;50;1;CN;hxt520;86 % avis positifs (295 notes);295;3.989.830.508.474.570;0
4;8;8;5000;1;4.03;579;0;0;0;0;Summer/Shorts/Cotton/Cotton T Shirt/Sleeve/printedletterstop/Clothing/Tops/Necks/short sleeves/Womens Fashion/Women Clothing/printed/Women/tshirtforwomen/Fashion/T Shirts/Shirt;black;M;50;2;0;41;50;;CN;allenfan;(23,832 notes);23832;4.020.434.709.634.100;0
5;27.199.999.999.999.900;3;100;1;3.1;20;0;0;0;0;Summer/Plus Size/Lace/Casual pants/Bottom/pants/Loose/Womens Fashion/Shorts/Lace Up/Elastic/Casual/Women;yellow;S;1;1;0;35;50;1;CN;youngpeopleshop;85 % avis positifs (14,482 notes);14482;4.001.588.178.428.390;0
6;3.92;9;10;0;5;1;0;0;0;0;Deep V-Neck/Summer/Plus Size/Spaghetti Strap/Overalls/Womens Fashion/sleeveless/Women/Casual/jumpsuit;navyblue;Size-XS;1;1;0;40;50;;CN;zhoulinglinga;75 % avis positifs (65 notes);65;35.076.923.076.923.000;0
7;7;6;50000;0;3.84;6742;0;0;0;0;blouse/Women/lace t shirt/summer t-shirts/Lace/Sleeve/Women Blouse/loose shirt/Short Sleeve Blouses/Pure Color/Womens Blouse/Bat/lace shirts/Necks/Womens Fashion/Plus Size/loose t-shirt/Short Sleeve T-Shirt/Fashion/Tops/Shirt;white;XS;50;2;0;31;50;;CN;Unique Li Fashion Shop;86 % avis positifs (10,194 notes);10194;4.076.515.597.410.240;1
8;12;11;1000;0;3.76;286;0;0;0;0;Jeans/Fashion/tunic/Shirt/Summer/Dress/Denim/summer dress/denimjeansdres/short sleeves/casual dresses/Womens Fashion/Tunic dress/minishirtdres/Lines/mididre;blue;M.;50;3;0;139;50;;CN;So Band;(342 notes);342;3.681.286.549.707.600;0
9;11;84;100;1;3.47;15;0;0;0;0;slim dress/summer dress/womenshortsleevedre/Sleeve/Summer/Dress/slim/short sleeves/Womens Fashion/Shorts/boho dress/slimfitdre/Fashion/Casual;black;M;50;2;0;36;50;1;CN;chenxiangjunjun;82 % avis positifs (330 notes);330;3.803.030.303.030.300;0
10;5.78;22;5000;0;3.6;687;0;0;0;0;blouse/Summer/Plus Size/Floral print/Necks/Sleeve/summer shirt/Loose/short sleeves/Casual/T Shirts/Shorts/Fashion/Floral/Women/Womens Fashion/Tops/printed;beige;S;50;2;0;33;50;;CN;Luowei clothe;85 % avis positifs (5,534 notes);5534;3.999.819.298.879.650;0
11;5.79;5;1000;0;3.46;613;0;0;0;0;Summer/Plus Size/long dress/plus size dress/Dress/Womens Fashion/maxi dress/Casual/beach dress/Sleeveless dress/summer dresses/women dress/Fashion/loose dress/sleeveless;grey;XXS;2;2;0;25;50;1;CN;mayuhiao;84 % avis positifs (9,470 notes);9470;39.568.109.820.485.700;0
12;6;8;100;1;3.31;13;0;0;0;0;Summer/Plus Size/Cotton T Shirt/womens shirt/summer t-shirts/short sleeves/V-neck/T Shirts/Fashion/sexy/Casual/Women/blouse/Shorts/Sleeve/Pure Color/Womens Fashion/Pullovers/Tops;lightblue;XS;2;2;0;40;50;1;CN;lanniesdesign;84 % avis positifs (3,515 notes);3515;3.983.783.783.783.780;0
13;19.100.000.000.000.000;6;1000;1;3.45;141;0;0;0;0;Summer/Women/Shorts/pants/Loose/Short pants/drawstring/Causal;orange;XS;1;1;0;38;50;;CN;easymarket;87% Feedback positivo (557 classifica̵̤es);557;4.123.877.917.414.720;0
14;5.79;42;1000;0;3.32;121;0;0;0;0;Summer/Vest/summer t-shirts/looseblouse/Cross/tank top/Spaghetti Strap/Sleeveless Shirt/Plus Size/topandblouse/deepneck/Spaghetti/Casual/Women Fashion/Women/blouse/Tank/Necks/Beach/Tops/beachvest/Womens Fashion/T Shirts/Fashion/sleeveless;red;S;50;2;0;43;50;;CN;Molesfashion;83 % avis positifs (5,083 notes);5083;39.474.719.653.747.700;0
15;2;2;20000;1;3.65;2457;0;0;0;0;Summer/Fashion/Mini/Dress/Loose/Polkas/V-neck/Tops/Womens Fashion/black/polka dot/sleeveless/backless/Casual/Women Fashion;yellow;S;1;1;0;36;50;;CN;Pentiumhorse;(55,499 notes);55499;4.138.885.385.322.250;0
16;11;81;1000;0;3.92;426;0;0;0;0;Summer/Plus Size/Shirt/Sleeve/cute/Long Sleeve/flare/Tops/topsamptshirt/Womens Fashion/Clothes for women/cuteshirt/Fashion/long sleeve t shirt/solidcolorshirt/Summer Fashion/loose t-shirt/T Shirts;Black;S;50;3;0;41;50;;CN;Pethas boutique;86 % avis positifs (39,381 notes);39381;4.066.326.401.056.340;0
17;11;10;10000;0;3.72;2058;0;0;0;0;Summer/fashion women/Fashion/Mini/Dresses/Tops/Polkas/V-neck/Mini dress/Womens Fashion/Party Dress/backless/party/Sexy Dress/Dress/sleeveless/polka dot/Casual/casual dress;red;L;50;2;0;34;50;;CN;2312hangm;(6,302 notes);6302;3.958.425.896.540.780;0
18;5;25;100000;1;3.83;17980;0;0;0;0;blouse/Plus Size/Lace/lace top/Tops/Fashion/strappy/sexy/sleeveless/summer tops/Women Fashion;white;S;50;1;0;41;50;1;CN;leiston;84 % avis positifs (139,223 notes);139223;3.933.581.376.640.350;0
19;9;9;20000;0;3.82;5479;0;0;0;0;Summer/Fashion/tunic/Women Vest/Tank/Tops/topsamptshirt/tank top/doublelayer/Womens Fashion/backless/sexy/Ladies/sleeveless/Casual/Women;blue;S;50;3;0;43;50;;CN;centper3;87 % avis positifs (22,089 notes);22089;4.081.624.337.905.740;0
20;7;7;1000;0;3.67;214;0;0;0;0;blouse/Summer/Vest/Plus Size/Tank/zippers/Tops/Slim Fit/tank top/Womens Fashion/V-neck/topsampblouse/sleeveless/women top/slim/Casual;red;S;7;2;0;41;50;1;CN;chenqinq;86 % avis positifs (3,592 notes);3592;4.062.360.801.781.730;0
21;11;10;5000;0;3.84;1183;0;0;0;0;Fashion/Floral print/Tops/sexy bikini/Swimwear/Swimsuit/padded/Bikini/sexy/Women/Womens Fashion/Swimming;green;S;50;3;0;69;50;;CN;uranus;91 % avis positifs (23,609 notes);23609;4.256.597.060.443.050;0
22;5;6;20000;0;3.6;3552;0;0;0;0;Summer/Vest/Fashion/Tank/Lace/Tops/slim/Womens Fashion/tank top/T Shirts/Lace Up/topsamptee/sexy/sleeveless/Women/Women Fashion/Cotton;black;S;11;2;0;41;50;;CN;Oucho co. ltd.;(12,913 notes);12913;39.813.366.374.970.900;1
23;11;26;1000;0;3.38;72;0;0;0;0;Women Vest/Vest/Fashion/buttontop/camisole/Summer/Spaghetti Strap/tank top/Womens Fashion/Plus Size/Design/V-neck/sleeveless/sexy/Spaghetti/summer tops/Cotton/Tank/Tops/Casual/Cotton Vest/Women/sleevelesstshirt/Casual Tops/Holiday/Beach/button;armygreen;S;2;2;0;51;50;;CN;huaxianglarou;90 % avis positifs (4,516 notes);4516;4.231.842.338.352.520;0
24;7;6;5000;1;3.67;510;0;0;0;0;blouse/Summer/Shorts/Sleeve/fashiontee/Tops/slim/short sleeves/Pullovers/Womens Fashion/Plus Size/Summer Fashion/Cotton/Fashion/Casual/T Shirts/Women;armygreen;M;50;2;0;138;50;1;CN;Pure Fashion;(96,838 notes);96838;4.264.658.501.827.790;0
25;5.71;5;1000;0;3.75;678;0;0;0;0;Summer/Vest/Fashion/Tank/Shirt/backless top/summer shirt/topsamptshirt/tank top/Ladies/Sleeveless Shirt/backless/V-neck/solid color/sexy/summervest/Tops/Women Fashion/Ladies Fashion;black;XXS;19;2;0;43;50;;CN;sjhdstoer;85 % avis positifs (80,093 notes);80093;4.006.692.220.293.900;0
26;9;32;1000;0;4.15;567;0;0;0;0;Summer/Vest/Fashion/Tank/Slim T-shirt/camouflage/Tops/camouflagevest/tank top/Cool T-Shirts/Womens Fashion/sleeveless tops/Women/Casual T-Shirt/Casual Tops/Military/Casual/sleeveless/t;armygreen;M;50;3;0;41;50;;CN;terbuer;87 % avis positifs (9,395 notes);9395;41.100.585.417.775.400;0
27;9;9;1000;0;4.03;216;0;0;0;0;Summer/midsleevebeachblouse/summerswimsuit/womensummerswimwear/crochet/Cover/womenbeachblouse/Swimsuit/Bikini/beachblouse/Swimwear/bikinibeachcoverup/Women/women fashion dress/women bathing suit/budsilkblouse/Suits/Womens Fashion/Lace;;M;5;3;0;60;50;;US;coaluss;90 % avis positifs (4,298 notes);4298;422.940.902.745.463;0
28;5.65;5;20000;0;4.29;2996;1;0;1;0;Women Vest/Vest/Fashion/yoga top/low cut/Womens Fashion/off shoulder/sportwear/sleeveless/sexy/Casual/sexyvest/knitted/Tank/Shirt/Tops/Slim Fit/beach wear/soildcolor/Women/Print/Lace Up/Cotton/tank top;white;S;50;2;0;43;50;1;CN;happyshoooping;(40,943 notes);40943;4.017.487.726.839.750;0
29;1.74;2;100;1;4.25;12;0;0;0;0;pink/Vest/Fashion/Lace/Summer/outweartop/slim/tank top/Womens Fashion/sleeveless tops/summerwomentop/Women/Deep V-Neck/Tank/Necks/Women Fashion/lace top/Tops/lace vest/black/blackwhitepink/scallopedtrimtop/sleeveless/white;pink;XS;50;1;0;41;50;;CN;Memo2;81 % avis positifs (18,138 notes);18138;3.831.513.948.616.160;0
30;5.65;6;1000;0;4.06;301;0;0;0;0;Summer/strapless/Plus Size/tunic/tunic top/Tops/Shorts/slim fit shirt/Womens Fashion/Fashion/topsamptee/women tank top/solid color/sleeveless/Pullovers/Casual/Cotton;white;XXL;50;2;0;54;50;;CN;meiximeiyo;86 % avis positifs (7,034 notes);7034;4.060.278.646.573.780;0
31;14;76;100;0;4.06;31;0;0;0;0;Summer/Plus Size/Love/plus size dress/Dress/short sleeves/Womens Fashion/Party Dress/Graffiti/uniquedres/Clothing/Bodycon Dress/casual dress/Shorts/Sleeve/summer dress/Cotton Dress/Women Clothing/print dress/Print/party/Short Sleeved/Women/Fashion;;S;50;4;0;36;50;1;CN;HOT DRESS;84 % avis positifs (51,369 notes);51369;39.682.688.002.491.700;1
32;5.65;6;1000;1;4.37;217;1;0;1;0;tank top women/Vest/Beading/Cotton Shirt/camisole/Women Vest/Sweets/Tops/Spaghetti Strap/Womens Fashion/Spaghetti/Cami/Summer/Bandages/Tank/Women/Cool Tees/Shirt;black;XXS;10;2;0;38;50;;CN;New Fashion Shopping Park;87 % avis positifs (44,837 notes);44837;4.065.905.390.637.190;0
33;8;7;1000;0;3.81;443;0;0;0;0;Summer/camisole/chiffon/Dress/slim/beach dress/Ladies/Womens Fashion/backless/printed/Floral/Robes/Beach/Casual/Women;khaki;S;4;2;0;46;50;;CN;Kallyett;81 % avis positifs (3,460 notes);3460;38.708.092.485.549.100;0
34;2.66;3;5000;0;3.44;1136;0;0;0;0;Vest/Fashion/Yoga/SEXY CROP TOP/girl bra/Tops/strapless/topbra/Tee/Womens Fashion/straplesstanktop/T Shirts/Casual/Bras/Women;black;M;50;1;0;22;50;;CN;Faringoto;92 % avis positifs (223,392 notes);223392;43.063.628.061.882.200;0
35;9;8;10000;0;3.8;1231;0;0;0;0;Summer/Vest/Plus Size/Tank/Lace/Tops/Loose/beach wear/Womens Fashion/Pure Color/sleeveless/Fashion/Casual/Women Fashion/Women;yellow;S;50;3;0;45;50;;CN;Sangboo Store;(10,600 derece);10600;38.675.471.698.113.200;0
36;11;10;1000;0;4.16;274;1;0;1;0;blouse/Summer/Plus Size/Floral print/ruffled/Sleeve/Tops/sexyblouse/short sleeves/Floral/Womens Fashion/Shorts/Print/sexy/Fashion;white;S;50;3;0;31;50;;CN;Lin Fashion Store;(13,946 notes);13946;4.000.143.410.296.850;0
37;8;17;100;1;2.75;8;0;0;0;0;butterflyprint/Vest/Plus Size/Necks/Tops/Spaghetti Strap/tank top/Casual/Round neck/Fashion/sleeveless tops/Casual Tops/summervest/womens vest;blue;S;50;3;0;40;50;;CN;Unnistore;85 % avis positifs (47,981 notes);47981;4.025.364.206.665.130;0
38;14;12;5000;1;4.06;643;0;0;0;0;Women Pants/womens jeans/Shorts/Ladies Fashion/Hot pants/pants/Short pants/Womens Fashion/skinnyshort/summerpant/Fashion/Summer/Denim Shorts/solid color/sexy/Jeans/Ladies/Women Fashion/Women;navyblue;XXS;2;3;0;43;50;;CN;sjhdstoer;85 % avis positifs (80,093 notes);80093;4.006.692.220.293.900;0
39;5.8;8;100;1;3.83;6;0;0;0;0;Summer/Fashion/Shirt/Necks/Loose/Round neck/Womens T Shirts/T Shirts/Print/sleeveless/Sweatshirts/Cotton/graphicprint;armygreen;XS;1;1;0;43;50;;CN;Cuetaes;83 % avis positifs (16,741 notes);16741;39.208.529.956.394.400;0
40;13;13;1000;0;4.16;138;1;0;1;0;Summer/Plus Size/Lace/Mini/Dress/slim/camouflage/Mini dress/Pocket/high waist/Womens Fashion/Fashion/Lace Up/t/print dress/Print/sleeveless/bodycon/Casual/Women Fashion/Waist;pink;S;50;3;0;41;50;1;CN;Oucho co. ltd.;85 % avis positifs (12,913 notes);12913;39.813.366.374.970.900;1
41;9;81;50000;0;4.26;5359;1;0;1;0;blouse/Mini/Fashion/longtop/Shirt/kaftandresse/stripetee/Tops/short sleeves/Mini dress/T Shirts/Sexy Dress/Dress/Tops & Blouses/Beach/Womens Fashion/Casual/Women;black;L;50;3;0;40;50;;CN;Fashionshow68;88 % avis positifs (59,198 notes);59198;4.105.054.224.804.890;0
42;7;68;10;0;1.5;2;0;0;0;0;Mini/spaghettistrapdresse/Floral print/Summer/womensfahsion/Spaghetti/Dress/summer dress/Print/minidressforwomen/Mini dress/spaghettishoulderstrapdre/Womens Fashion/floralprinteddre/Sexy Dress/Floral/sexy/Fashion;white;S;50;2;0;43;50;;CN;wenj498;(397 notes);397;3.858.942.065.491.180;0
43;12;14;100;1;3.79;24;0;0;0;0;Summer/Shorts/pants/Fitness/Short pants/runningpant/Mens Fashion/Casual/Red/Cotton;black;S;50;3;0;22;50;;CN;baijupingshop;87% Positives Feedback (196 Bewertungen);196;4.020.408.163.265.300;0
44;3.69;40;100;0;3.53;59;0;0;0;0;Summer/Shorts/Cotton/Cotton T Shirt/letter print/cute/teeshirthomme/short sleeves/Casual/Round neck/Womens Fashion/Fashion/printed/beetshirt/Women/Sleeve/T Shirts/Necks;grey;XS;2;1;0;24;50;1;CN;wuewi;93 % avis positifs (10,917 notes);10917;43.648.438.215.627;0
45;5;5;10000;1;3.82;3208;1;1;0;0;Fashion/Tops & Blouses/Coat/Tops/tank top/Hollow/Jacket/Womens Fashion/kimono/crochet/Ladies/Women/Women Clothing;white;;50;1;0;63;50;1;CN;Brittany;89 % avis positifs (27,055 notes);27055;4.151.395.305.858.430;0
46;5.84;56;100;0;3.28;36;0;0;0;0;Summer/off shoulder top/Fashion/crop top/Spring/Vest/yoga top/Womens Fashion/tank top/sexy/Sport/summer tops/Women/fashion women/Fashion tank top/Tank/summer tank top/Tops/sexy tank top/Casual/Ladies/sleeveless/women top;armygreen;S;50;1;0;43;50;;CN;happyshoooping;86 % avis positifs (40,943 notes);40943;4.017.487.726.839.750;0
